timestamp,executionDate,type,tokenAddress,to,from,amount,valueFiat
1670103299000,2022-12-03T21:34:59Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0xd569D3CCE55b71a8a3f3C418c329A66e5f714431,0.03098032313730726,38.50980696822221
1670103215000,2022-12-03T21:33:35Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0x7Ae63FBa045Fec7CaE1a75cF7Aa14183483b8397,2.32066787587e-7,0.0002884684951187235
1668972383000,2022-11-20T19:26:23Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0xd569D3CCE55b71a8a3f3C418c329A66e5f714431,0.03588609124777552,41.062773041476746
1668889835000,2022-11-19T20:30:35Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0x7Ae63FBa045Fec7CaE1a75cF7Aa14183483b8397,2.70552902103e-7,0.0003297752162863867
1668603551000,2022-11-16T12:59:11Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1205.299095480204,1467695.2266967627
1668581291000,2022-11-16T06:48:11Z,ETHER_TRANSFER,,0x594Cb208b5BB48db1bcbC9354d1694998864ec63,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,26.8754,32726.230728523784
1667784491000,2022-11-07T01:28:11Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0xd569D3CCE55b71a8a3f3C418c329A66e5f714431,0.04718264185139197,74.07621152330097
1667714615000,2022-11-06T06:03:35Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0x7Ae63FBa045Fec7CaE1a75cF7Aa14183483b8397,5.7936381419e-8,0.00009113090235882712
1667145215000,2022-10-30T15:53:35Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0x835F397D5cD21eBAe820FDC3fc6eAC98520534ee,2.8831524012832466,4587.244741321249
1666754411000,2022-10-26T03:20:11Z,ERC20_TRANSFER,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF2F400C138F9fb900576263af0BC7fCde2B1b8a8,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.016182808441295257,25.38674167003733
1666468691000,2022-10-22T19:58:11Z,ERC20_TRANSFER,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF2F400C138F9fb900576263af0BC7fCde2B1b8a8,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0.0671763328800158,88.25410163054225
1666466807000,2022-10-22T19:26:47Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0xd569D3CCE55b71a8a3f3C418c329A66e5f714431,0.0878283413366147,115.38604490673896
1666466723000,2022-10-22T19:25:23Z,ETHER_TRANSFER,,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,0x7Ae63FBa045Fec7CaE1a75cF7Aa14183483b8397,1e-18,1.3137677787231052e-15
1666321739000,2022-10-21T03:08:59Z,ERC20_TRANSFER,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF2F400C138F9fb900576263af0BC7fCde2B1b8a8,0xAF28bcB48C40dBC86f52D459A6562F658fc94B1e,1.3707122536708753,1781.6543988718004
